textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 11/02/2020 03:47:55 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2019,49,12/2/2019,12/8/2019,103,103,,3,10,0,0,13,0,2,0,2,15,88,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2019,50,12/9/2019,12/15/2019,103,103,,5,3,0,0,8,2,2,0,4,12,91,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2019,51,12/16/2019,12/22/2019,103,103,,18,6,0,0,24,1,3,0,4,28,75,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2019,52,12/23/2019,12/29/2019,105,105,,21,6,0,0,27,0,0,0,0,27,78,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,1,12/30/2019,1/5/2020,41,41,,1,9,0,0,10,0,0,0,0,10,31,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,2,1/6/2020,1/12/2020,88,88,,11,15,0,0,26,1,3,0,4,30,58,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,3,1/13/2020,1/19/2020,82,82,,8,9,0,0,17,1,0,0,1,18,64,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,4,1/20/2020,1/26/2020,106,106,,0,4,0,0,4,1,3,0,4,8,98,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,5,1/27/2020,2/2/2020,81,81,,2,1,0,0,3,0,1,0,1,4,77,No Report
Albania,European Region of WHO,South West Europe,2020,1,12/30/2019,1/5/2020,,18,0,4,4,,0,8,0,0,1,1,9,,No Report
Albania,European Region of WHO,South West Europe,2020,2,1/6/2020,1/12/2020,,69,0,7,3,,0,10,0,8,0,8,18,,No Report
Albania,European Region of WHO,South West Europe,2020,3,1/13/2020,1/19/2020,,77,0,1,0,,6,7,0,0,11,11,18,,No Report
Albania,European Region of WHO,South West Europe,2020,4,1/20/2020,1/26/2020,,113,0,6,3,,16,25,0,0,7,7,32,,No Report
Algeria,African Region of WHO,Northern Africa,2019,49,12/2/2019,12/8/2019,7,7,,,,,,0,,,0,0,0,0,Sporadic
Algeria,African Region of WHO,Northern Africa,2019,50,12/9/2019,12/15/2019,15,15,,1,1,0,0,2,0,1,0,1,3,12,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2019,51,12/16/2019,12/22/2019,18,18,,1,0,0,0,1,0,3,0,3,4,14,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2019,52,12/23/2019,12/29/2019,21,21,,3,0,0,0,3,0,2,0,2,5,13,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2020,1,12/30/2019,1/5/2020,14,14,,1,0,0,0,1,0,3,0,3,4,10,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2020,2,1/6/2020,1/12/2020,27,27,,7,0,0,0,7,0,7,0,7,14,12,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2020,3,1/13/2020,1/19/2020,13,13,,3,0,0,0,3,0,3,0,3,6,5,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2020,4,1/20/2020,1/26/2020,36,36,,7,2,0,0,9,0,6,0,6,15,20,Widespread Outbreak
Algeria,African Region of WHO,Northern Africa,2020,5,1/27/2020,2/2/2020,59,49,,17,1,0,0,18,0,2,0,2,20,10,Widespread Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2019,49,12/2/2019,12/8/2019,,250,,0,0,,2,2,0,0,15,15,17,233,No Report
